Name;Symbol;Coin Market Cap;Price;Volume;max_supply;total_supply
DxChain Token; DX; 30693834,061985847; 0,0006138766812435697;43269.18246197;None;100000000000
1irstcoin; FST; 30692621,53789429; 0,7783042214010536;40081.45257012;None;100000000
Infinity PAD; IPAD; 30282401,07405378; 0,056078520507507;543880.60867865;1000000000;200000000
BUX Token; BUX; 30162146,692893915; 0,5208922321271491;337268.42456082;76384000;76384000
Rubic; RBC; 30144665,363257293; 0,2765565629656632;919933.50705168;124000000;124000000
Umbrella Network; UMB; 30133726,51219879; 0,40688161314731025;2419128.00988958;500000000;498500000
Circuits of Value; COVAL; 30049118,12957827; 0,03004911812957827;18111.16930149;None;1200000000
HoDooi.com; HOD; 29979563,34121226; 0,14783906823820797;4915890.16835715;1000000000;1000000000
#MetaHash; MHC; 29902453,337734714; 0,010176674386108935;827131.84900362;9200000000;3108371804
suterusu; SUTER; 29880279,586298544; 0,007750964863217643;936546.65182943;10000000000;10000000000
Skey Network; SKEY; 29865204,358988494; 0,164427582029634;2161155.52596608;1000000000;1000000000
ASTA; ASTA; 29857562,38757739; 0,016587534659765216;4001190.97108113;3000000000;3000000000
Santiment Network Token; SAN; 29790394,191699337; 0,4706700850642018;2259.70999172;None;83337000
Ethereum Push Notification Service; PUSH; 29599242,300076973; 2,2221544939966114;1025936.79101059;100000000;100000000
Jigstack; STAK; 29489879,9080269; 0,014360287942242542;334221.00287873;3000000000;3000000000
FC Porto Fan Token; PORTO; 29462958,018102955; 3,7773023100131993;6978222.61228929;None;40000000
TokenClub; TCT; 29379351,270854615; 0,03592036849539665;9057573.48909477;None;995239500
BTSE; BTSE; 29243786,62366913; 6,71543682776403;1283952.77688086;200000000;165904711
Thorstarter; XRUNE; 29241753,563370552; 0,3623987040905067;1322180.80153796;1000000000;500000000
ReapChain; REAP; 29181913,06553023; 0,413927844901138;5460753.98108065;None;4900000000
Locus Chain; LOCUS; 29110627,31822435; 0,03308746759445668;73326.6414176;7000000000;7000000000
Xaya; CHI; 29103331,075539906; 0,6005281175143877;370826.41790188;77303932;57605021.95319532
Medacoin; MEDA; 29097987,899587344; 0,0006377328007816179;1885640.8880287;None;100000000000
Observer; OBSR; 29061611,79493812; 0,007165841446348505;332460.6512021;14000000000;14000000000
Reserve; RSV; 28910037,552660275; 1,0020578644886244;114866.9037096;None;28850666.79
Nebulas; NAS; 28728394,345357362; 0,47479334885018126;11247427.34895043;None;76022952.12966001
Bifrost (BNC); BNC; 28803871,981488973; 2,838938693227772;792416.51508109;80000000;80000000
USDK; USDK; 28624619,098639917; 1,0008582880015098;215769845.6988034;None;28600072
GET Protocol; GET; 28604191,57291615; 2,5117267670743564;131610.42729689;None;23368773.4
BitKan; KAN; 28533830,081638623; 0,0029938542000973742;706385.90152121;None;10000000000
Monsta Infinite; MONI; 28441223,94165507; 1,8714085741851971;4007506.51696963;270000000;270000000
Neblio; NEBL; 28167140,72625631; 1,5327626820317968;873996.51935345;None;18704346.76169461
Navcoin; NAV; 28092384,727639828; 0,38845940094853926;279156.3580406;None;72317427.91922118
FLETA; FLETA; 28065786,297991607; 0,025190238464412207;19618676.74634305;None;2000000000
Aurora; AOA; 28177269,07238276; 0,0028247716650993066;639965.53583328;None;10000000000
TEMCO; TEMCO; 27906743,16785025; 0,007023645158299591;374161.84973585;6000000000;6000000000
APY.Finance; APY; 27770031,04996154; 0,5045936931211147;272915.91979961;None;100000000
VIBE; VIBE; 27697690,579547625; 0,10647371052882564;381382.97024315;267000000;267000000
Life Crypto; LIFE; 27611283,02775284; 0,005322167199547335;2387580.78424338;10000000000;10000000000
Degenerator Meme; MEME; 27542640,795998316; 983,6657427142255;952288.24698046;28000;28000
Zano; ZANO; 27503047,32997076; 2,5165794361603875;754185.35273003;None;12958241.98
Revomon; REVO; 27467516,141515024; 1,1071086040965845;3830332.39457798;100000000;100000000
YF Link; YFL; 27439235,673935115; 532,7723535897056;389012.84681007;52000;52000
BEMIL Coin; BEM; 27376158,742119823; 0,38471274230072827;3802935.41473863;1000000000;1000000000
Kryptomon; KMON; 27351482,93654532; 0,15001657032812463;1700311.35954947;1000000000;1000000000
Peony; PNY; 27255315,215592414; 0,4317194403164875;60677.15268619;1200000000;63132008.12919594
DeepBrain Chain; DBC; 27208432,466589376; 0,00850263514580918;1671388.5664253;10000000000;10000000000
AnRKey X; $ANRX; 27202348,063474827; 0,24653579056143604;2558144.51251104;None;200000000
Warena; RENA; 27177928,92653355; 3,9605025971282357;7055437.38901378;100000000;100000000
Wall Street Games; WSG; 27179582,397639316; 8,719540607181714e-08;5759706.14684045;1000000000000000;969784779736925
Smart MFG; MFG; 26987090,18435753; 0,0869944157811015;62434.33028828;None;868459135.7414333
Lithium; LITH; 26947942,846750077; 0,02642596977372613;4650522.82860819;None;10000000000
Rainbow Token; RAINBOW; 26835845,123695556; 3,1190042515778264e-08;9207152.00114245;1000000000000000;1000000000000000
Student Coin; STC; 26621946,162544478; 0,005001542183344484;1536689.74359026;10000000000;10000000000
UniLend; UFT; 26595394,579515275; 0,8564637136359929;1381565.68865344;100000000;100000000
Permission Coin; ASK; 26589669,580652718; 0,0017251005900862885;309123.05467547;None;100000000000
BitForex Token; BF; 26514192,394407965; 0,006188523105548152;560233.11722127;None;10000000000
TE-FOOD; TONE; 26475977,528942678; 0,046553323153161144;322740.78297342;1000000000;1000000000
Stakenet; XSN; 26443680,09319655; 0,21605623820187558;64996.99403525;None;125931615.84088673
Seascape Crowns; CWS; 26377752,81371353; 11,823314324126056;2296063.49980229;10000000;10000000
Taraxa; TARA; 26300228,915246453; 0,01958288041093449;2645369.52389467;None;10000000000
Misbloc; MSB; 26207230,3252135; 0,19726644957145487;2820052.76332505;None;300000000
SENSO; SENSO; 26137243,412484646; 2,135161254555435;3649593.66604075;3492000000;1715280000
Wabi; WABI; 26031490,547767997; 0,26031490720033856;5028664.28224954;100000000;100000000
Namecoin; NMC; 25923018,26840406; 1,7591147273692394;13912.4289411;None;14736400
UniCrypt; UNCX; 25919112,73179032; 943,2757145154546;1709995.60586656;50000;47650
HyperCash; HC; 25685890,69673922; 0,5698869002690078;4386695.70044333;84000000;45071909.329052
ZeroSwap; ZEE; 25649270,561603855; 0,4043770091779615;787858.02822393;None;100000000
Bitball Treasure; BTRS; 25528272,655368134; 56,72949478970697;287998.91363617;1000000;1000000
Binamon; BMON; 25273358,811951865; 0,2189042387103785;18222186.83128506;300000000;231713307
Fountain; FTN; 25253122,372654844; 0,28478398421310874;0;None;2208919510.99
Nash; NEX; 25164902,59114917; 0,8628104356528699;256242.0029034;50000000;50000000
QASH; QASH; 25083095,631913994; 0,07166598751975427;652554.43838435;None;1000000000
MAPS; MAPS; 25024494,637048185; 0,5786112166768972;2230226.6689672;10000000000;10000000000
SafeCoin; SAFE; 24998154,218627658; 0,9013195524431397;25484.39820367;36000000;29739166.606595
LBRY Credits; LBC; 24994757,658155214; 0,04796953666375337;282043.25797716;1083202000;705211760
Smartlands Network; SLT; 24957493,446564633; 4,892766909780762;40532.62393201;7186785;7186785.07945
Solrise Finance; SLRS; 24953290,068151496; 0,5170834725826446;284073.04731335;1000000000;1000000000
FairGame; FAIR; 24944974,20690726; 0,025984348132195065;12444779.91772485;1200000000;1200000000
HAPI; HAPI; 24939890,725251973; 50,746788502034576;1616816.87194847;1000000;511929.20666767
Aidos Kuneen; ADK; 24828187,831095017; 0,9931275132438007;236187.62406357;None;25000000
Peercoin; PPC; 24593252,155010726; 0,9019704913493763;28767.16141799;None;27266138.29485535
Sarcophagus; SARCO; 24557836,875709582; 1,5713056670104444;2901.80487324;100000000;100000000
Sentivate; SNTVT; 24534554,8517339; 0,006846485393610486;183008.32380053;4200000000;4200000000
